date,new_cases,new_deaths,people_vaccinated,people_fully_vaccinated
431,482,1,1281,0
432,384,4,45,0
433,441,3,27921,919
434,506,2,29966,2036
435,551,4,24102,4789
436,555,2,37552,7267
437,542,3,39488,6599
438,543,4,8587,544
439,473,4,630,66
440,478,4,36900,317
441,668,4,38864,5744
442,700,2,37659,9241
443,671,6,37164,9500
444,676,1,33647,7286
445,614,3,8798,1089
446,587,2,305,0
447,542,5,38315,25
448,731,7,44395,4
449,698,6,46566,3
450,672,2,93785,3
451,655,4,103519,200
452,671,3,29410,0
453,531,4,4866,0
454,549,1,122967,2
455,731,4,131367,13
456,735,2,132653,26
457,797,3,131897,18541
458,785,1,160235,19616
459,644,1,65106,5773
460,500,4,6288,367
461,511,3,142819,21603
462,775,1,177008,21790
463,678,4,232147,20445
464,656,3,262312,30042
465,627,3,277116,29758
466,606,2,40157,7713
467,488,1,1561,314
468,541,6,86164,30581
469,676,7,74789,31238
470,574,4,5341,25311
471,525,9,57494,73517
472,701,5,47996,76817
473,564,9,12110,27547
474,463,1,3,4735
475,511,4,13463,77576
476,635,5,8539,80794
477,715,7,6125,82896
478,747,2,8637,77997
479,681,3,10901,80126
480,610,4,1294,30160
481,619,3,7,4988
482,528,1,13371,100380
483,653,8,12467,141896
484,646,4,1816,93071
485,561,6,12263,211240
486,666,4,14426,225478
487,585,5,5133,35768
488,538,3,218,2706
489,516,4,71830,105010
490,699,2,78228,93484
491,629,3,87712,67688
492,587,3,661938,55194
493,533,5,545028,65202
494,479,6,164644,8882
495,430,2,4729,87
496,459,4,386963,27313
497,677,2,567640,26421
498,681,3,383032,22760
499,695,1,343980,25753
500,744,2,369101,29926
501,556,2,140106,2368
502,485,1,2968,0
503,454,1,894844,20632
504,601,2,746698,25778
505,611,2,594190,24533
506,556,2,767628,287866
507,563,1,827187,237443
508,452,3,389087,119210
509,399,3,27879,11987
510,374,4,769679,258804
511,544,1,647328,209239
512,540,1,568511,282890
513,507,2,443341,129521
514,482,1,537293,127828
515,429,5,216365,36039
516,357,2,613,1136
517,395,2,47441,117477
518,644,1,48809,125388
519,610,1,44134,120351
520,634,1,45661,107892
521,668,3,63871,96886
522,614,1,11225,23657
523,501,2,6,740
524,595,2,13260,144578
525,794,1,16733,144996
526,762,3,14707,137090
527,826,3,4427,120668
528,793,1,5063,120843
529,742,1,1500,17014
530,711,2,0,646
531,746,4,54544,76391
532,1212,1,38376,90751
533,1275,1,35413,89037
534,1316,2,38073,106194
535,1378,2,58421,148527
536,1324,5,12888,39384
537,1100,1,481,1110
538,1150,2,31383,93534
539,1615,2,108113,110004
540,1600,2,112190,122327
541,1535,1,123069,142469
542,1454,4,134715,184177
543,1451,2,34542,36698
544,1252,1,2410,521
545,1278,1,160153,71214
546,1784,1,150686,61373
547,1838,3,139658,39288
548,1630,3,140656,59630
549,1629,2,146733,59589
550,1486,5,29338,11029
551,1318,4,1611,60
552,1365,2,619314,64636
553,1896,4,382223,48365
554,1672,2,480218,42378
555,1707,4,347792,43112
556,1539,6,497268,59983
557,1442,3,215692,13448
558,1215,1,28020,482
559,1201,5,477022,36167
560,1723,2,220625,107030
561,1776,3,166428,109942
562,1704,4,193684,126831
563,1822,3,256479,155734
564,1728,5,121672,35865
565,1492,4,27718,2242
566,1539,9,436735,173747
567,2219,1,263416,169143
568,1986,3,178090,163282
569,1990,6,169045,706629
570,1929,4,243424,620536
571,1817,8,142937,182428
572,1553,11,18471,5568
573,1373,6,671836,256140
574,1803,5,724761,495252
575,2151,13,523627,319189
576,2051,6,504785,293047
577,1880,5,685275,331700
