date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated
65,9241,104,131,5,0,0,0
66,9332,91,139,8,0,0,0
67,9478,146,144,5,0,0,0
68,9583,105,152,8,0,0,0
69,9661,78,158,6,0,0,0
70,9786,125,162,4,0,0,0
71,9887,101,165,3,0,0,0
72,9976,89,169,4,0,0,0
73,10062,86,174,5,0,0,0
74,10156,94,177,3,0,0,0
75,10237,81,183,6,0,0,0
76,10284,47,186,3,0,0,0
77,10331,47,192,6,0,0,0
78,10384,53,200,8,0,0,0
79,10423,39,204,4,0,0,0
80,10450,27,208,4,0,0,0
81,10480,30,211,3,0,0,0
82,10512,32,214,3,0,0,0
83,10537,25,217,3,0,0,0
84,10564,27,222,5,0,0,0
